Text,Review-Activity,Season
Halloween thanksgiving Christmas,ACTIVITY,FALL
Pumpkin patch  Thanksgiving  Black Friday,ACTIVITY,FALL
fishing  travel  staying warm,ACTIVITY,WINTER
"walking on  a trail in the sun, eating outside listening to a classy band while dining, sitting outside in the sun",ACTIVITY,SUMMER
Hiking hunting fishing,ACTIVITY,FALL
"watching football, gardening, going for walks",ACTIVITY,FALL
"Good Coffee Warmer: This is my first coffee warmer, and I like it. It keeps the coffee pretty warm (it won't burn your tongue, but it's pretty warm).Out of curiosity, I set yesterday's cold coffee on the warmer and it managed to warm the cold coffee.BTW, this coffee warmer will keep a bowl of soup warm as well.",REVIEW,NOT APPLICABLE
Hiking. Cycling. Jogging.,ACTIVITY,WINTER
Crunching through leaves  Visiting apple orchard  Trick or treating,ACTIVITY,FALL
"Cocoa, walks, movies",ACTIVITY,WINTER
"My 3 favorite summer activities are dancing , jogging, and outdoor concerts.",ACTIVITY,SUMMER
"Brute Pulls no punches: Brute Krulak had an exceptional career as a Marine officer. This book is close to exceptional as it details many of the behind the scenes workings to save the Marine Corps after WWII and again after Korea. The general public is little aware of how close the Corps came to an ignominious end at the hands of President Truman as well as high level Army and Navy officers. Fortunately for the nation they were, in the end, unsuccessful. Also Brute tends to somewhat give himself more credit than in some instances is due. That, however, is a small failing and his well written history of the Corps comes off quite well.",REVIEW,NOT APPLICABLE
hiking  baking  walking,ACTIVITY,FALL
"hiking, biking and picnic",ACTIVITY,SUMMER
"It has cought up with my interest: It was basically a decent movie. The plots keep flipping on you. The first part is silly, but what can you say about the 'hood'? That acid on the head was a bit much though. And they never let us know how the fortune teller finds him. She had to know about him. Glad to see that he was able to finally open his club and get his son.",REVIEW,NOT APPLICABLE
"I can't believe I spent this much money on this.: I should have paid more attention to K. Williams' review. We disagree on one point, though. Williams thinks the movie is too long. I think that any length would be too long.Yes, the acting is excellent, but in order to create a good movie you absolutely must start with a good script. This one just drags on and on. I stayed with the movie all the way to the end, thinking that, with all the 5-star reviews, there must eventually be something to this boring story. Wrong!I rarely give a bad review (see my others), mostly because I don't usually err when I buy something. This DVD was a mistake.Do not buy this DVD until you have rented it first.Also, be aware of the review phenomenon wherein people who disagree wi",REVIEW,NOT APPLICABLE
Reading.  Working outdoors.  Walking.,ACTIVITY,SUMMER
"Great Camera: Wow, this camera is very easy to use and takes great photos!I highly recommend it. I purchased two, one for me and one for my wife.This is the best digital camera for low light photos I have owned yet.",REVIEW,NOT APPLICABLE
Nice surprise: I love this movie and recommend it to my picky movie friends. The acting and writing is great and the plot is not predictable. Who could ask for more?,REVIEW,NOT APPLICABLE
"Petsafe Collar.....great product: We have used the Petsafe Wireless Fence for 2 years and LOVE IT. This is the first collar we've had to replace. We have 2 big dogs and this contains them...most of the time. We have had a couple of times where the German Shepherd has ""run the fence"", but when it happened, the battery happened to be a little low....and he REALLY, REALLY wanted to follow us. Keep up on your battery replacements.",REVIEW,NOT APPLICABLE
Going downhill: I wouldn't pay for a subscription to this mag. It probably won't be around for another year. In the last year it has changed for the worse. The women are gradually getting uglier and the reading is on a third grade level. It's a bad deal when the women in the beer advertisements are way hotter than the women featured in the mag! If it takes you more than ten minutes to look through this mag then it's because you dozed off.,REVIEW,NOT APPLICABLE
"Remastering makes for a new experience: Let's face it: early Stones albums (and the cds that were based on them) were pretty poorly engineered. This re-mastered recording (assuming you're using decent equipment) is an audible improvement. Bass lines have more oomph, yet are more musical. Back up vocals are more distinct. Everything sound less tinny. It's not like an entirely new recording, but they have done a remarkable job considering the material with which they had to work. Whether or not this the best early compilation I won't argue: it is what it is (and I think it's pretty good). If you want to hear the early recordings of the Stones sound better than they ever have, buy it.",REVIEW,NOT APPLICABLE
Costume Parties  Pumpkin carvings  Candy eating,ACTIVITY,FALL
unknown,ACTIVITY,FALL
Eating  Sleeping  Snowboarding,ACTIVITY,WINTER
"Hike,snow fight,fun",ACTIVITY,WINTER
Travel  Beach  Pool,ACTIVITY,SUMMER
Snowmobile sledding and building a snowman,ACTIVITY,WINTER
Good but a bit dry: This is a great thriller with awesome action packed routines. The ending is a bit dry but appropriate for this genre.,REVIEW,NOT APPLICABLE
"Could be fun for the kids...but an otherwise worthless game.: When purchasing Chicken shoot, we thought it might bring us back to the days of Duck Hunt for the original Nintendo. Boy, were we disappointed. Chicken Shoot is by far the worst game I've owned for the Wii thus far.The goals in the levels don't really make sense, since the level continues on even after you shoot your required number of chickens. Multi-player is split screen and just awful. The graphics on the game are bad as well...looking like they came straight from a 5-year old's coloring book.I didn't even make it through the first level before I got tired of playing the game.Chicken Shoot has potential for entertaining small children, but for anyone else, avoid at all costs.",REVIEW,NOT APPLICABLE
Gambling walking ice fishing,ACTIVITY,WINTER
"My favorite winter activities are looking at Christmas decorations, spending time with my family and reading by the fireplace",ACTIVITY,WINTER
Fairs    Hay Rides    Playing in the leaves,ACTIVITY,FALL
"Isn't worth a buck: Someone here called this book a joke, and I couldn't agree more. If you find this book useful, do not even think of trading futures, as you would be too naive to do so.This should not be even called a book, it's rather a booklet. The information presented on a level of a seventh grader. I bought this, browsed it for 30 minutes, and returned it the same day. Then (for $0.75!) I bought a used book by Todd Lofton ""Getting started in Futures"" here on Amazon.It has 50 times more information, and would be really useful for beginners in futures.",REVIEW,NOT APPLICABLE
Watching football  Playing football   And watching the colorful leaves fall to the ground,ACTIVITY,FALL
Baking  Sledding  Gift Exchanges,ACTIVITY,WINTER
"Watching Football, Eating Turkey, Putting up a Christmas Tree",ACTIVITY,FALL
"partying at home, grilling out, campimg and a camp dfire",ACTIVITY,SUMMER
"A self absorbed and defenseless main character: I hate this book beyond belief. The book lacks a little thing called substance. I wanted to just strangle the main character Mac. She was a little defenseless Barbie stereotype, whose delicate southern female sensibilities were hurt when somebody so much as cursed! She cant lift a finger to defend herself, and would rather slouch off her parents with a part time job, work on her tan, then do ANYTHING. It had immense potential when it came to plot but the characters made it unenjoyable. Jericho was a horrible character who did nothing but yell, bruise, and order Mac around. None of the characters are well written and have as much substance as a toilet brush, not to mention that Mac is the most worthless excuse",REVIEW,NOT APPLICABLE
Skiing  Snow Mobiling  Sledding,ACTIVITY,WINTER
Baseball football basketball,ACTIVITY,WINTER
"McQueen at his driving best.: I bought this disk mainly for the car chase because it is one of the best chases I have ever seen in a movie. I believe that McQueen did all his own driving in the picture. If you like wild car chases, this is the movie to see again and again. I actually felt my stomach doing flip flops while I watched him chase the bad guys.",REVIEW,NOT APPLICABLE
Super bowl    Cuddling    Spring is near,ACTIVITY,WINTER
The Highest Level of Enlightenment: This CD pack is GRAND! I've been listening to it ongoingly for over 5 years andstill feel exhalted each time. It's TRUE!!!! Dr. Hawkins teaching support my spiritual growthin the highest way. He reminds me of the deepest Truths in a way so few do. I keep recomending this pack over and over and would give it 10 stars if it would be an option. http://www.amazon.com/gp/product/B000EOJ6UM/ref=cm_cr_rev_prod_title,REVIEW,NOT APPLICABLE
"Inspirational!: In a few short minutes, this film captures the dilemma of ordinary citizens suddenly forced to make a decision that would change the course of history forever. This film offers far greater historical accuracy than the PATRIOT starring Mel Gibson. If you've never visited Colonial Williamsburg, it will make you want to see it. If you've already been there, this is the perfect item to bring back wonderful memories.",REVIEW,NOT APPLICABLE
"Fishing, hiking, traveling",ACTIVITY,FALL
"Sledding, tubing, snow shoeing",ACTIVITY,WINTER
Eating organic food.  Educating people on organic food.  Making money to buy organic food.,ACTIVITY,WINTER
"Not a happy bunnny: Okay, saw the rave reviews for this product, then bought it for my birthday. What a dissapointment! The right speaker has a high frequeny rattle which gets really annoying on a unit which is supposed to produce bass with no distortion. So I took it back, was given a replacement, and it sounded exactly the same! Im going back today to buy the sony equivalent, all i can say is im gutted. The unit has great features, if only they hadnt messed up the sound.",REVIEW,NOT APPLICABLE
Jumping on leaves,ACTIVITY,FALL
"Sledding, building snowmen, and ice-skating.",ACTIVITY,WINTER
"movies,coffee and snugging",ACTIVITY,WINTER
Swimming   Boating   Beach,ACTIVITY,SUMMER
"An ecclectic, unusual and rocking ride: Saw this band live Friday and have to say it was NOT what I expected - took me completely by surprise. Frankly I was expecting the usual bar band rock-blues type of thing, but this blew me away. It was totally engaging. I bought a CD from the band after the show and on my I-pod I'm enjoying it even more with repeated exposure. It's not every day you find a really fresh approach... This band's sound is out there but it takes everybody along for the eccentric hayride. A great listen.",REVIEW,NOT APPLICABLE
FISHING HUNTING TRAVELING,ACTIVITY,FALL
1.snow doarding 2.sking3.building a snow man,ACTIVITY,WINTER
Drinking coffee/ hot chocolate. Sleeping in,ACTIVITY,WINTER
"legendary stuff...: In one word... awesome. Grooverider is one of the true legends of the dnb scene and this album proves just how talented he is. The album veers from the surreal opener 'Cybernetic Jazz' to the jazzed-up vocal track 'Rainbows of Colour' to brooding dark numbers like the brilliant 'Where's Jack The Ripper' and '560*'. Highly original, diverse, and right up there with Aphrodite's album as my fave dnb LP's.",REVIEW,NOT APPLICABLE
Blowout: Another great mystery in the FBI series from Catherine Coulter. You won't want to put this book down until you've finished reading it.,REVIEW,NOT APPLICABLE
drinking beer  skiing  shoveling snow,ACTIVITY,WINTER
"Staying inside, snuggling up with a blanket and drinking hot cocoa.     Sledding    Building a snowman",ACTIVITY,WINTER
Sleep fun and beer,ACTIVITY,WINTER
"Figure skating, sleigh rides, snowmobiling",ACTIVITY,WINTER
My favorite fall activities is nothing at all.,ACTIVITY,FALL
"Wacthing children in the park, family gatherings Watching the season change",ACTIVITY,FALL
"The Survival Guide for Traders by Bennett Mcdowell: Excellent book, cuts to the chase and tells you what you will need to set up your Trading Business.",REVIEW,NOT APPLICABLE
"Food, leaves, crisp weather",ACTIVITY,FALL
favorite  fall  activities,ACTIVITY,FALL
Sledding  Watching movies  Sleeping,ACTIVITY,WINTER
Works great!!!: i bought it for my friend to use because she wanted an 8G. It has Enough space to store thousands of pics.,REVIEW,NOT APPLICABLE
"Swimming, hiking, boating",ACTIVITY,SUMMER
"UK DVD best version by far!: Having seen abbey when first aired on pbs i loved it!Awsome period piece,great story and realy awsome cast of actors in there rolls.Having just bought the UK version from amason.com it has more footage that is spread outover the six hours of the 3 disk.and it adds more to the individual stories to each character in some cases.I think if you must buy a version get this one i for one am looking forward to the continuation of the miniseries!",REVIEW,NOT APPLICABLE
"play soccer, read",ACTIVITY,WINTER
"Sledding, sleeping, snow ball s",ACTIVITY,WINTER
"Golf, grilling outdoors, attending baseball games",ACTIVITY,SUMMER
"NOT THE FLASHLIGHT IN PIC: ordered this by the picture in product description, very misleading!thinking about returning it! streamlight is a very awesome light just thought it was the led one like in the picture under product description.",REVIEW,NOT APPLICABLE
"Snowboarding, snowmobiling, sledding",ACTIVITY,WINTER
"Its like I was there: Beth Lambert is a lot like me, and I wish that she was here so that she could be my best friend. I mean she's so much fun to be with, and sometimes I don't like Philip Hall at all. This book was the most fun book I have ever read. I wrote Bette Greene a letter on her website bettegreene.com and she wrote me back. I showed the letter to my classs.",REVIEW,NOT APPLICABLE
"Weather, freedom, fun",ACTIVITY,SUMMER
"Interesting and Page-Turning: I enjoyed this book almost as much as ""Mother Night"" but I am reserving 5 star ratings for the best of Vonnegut. This book made many realistic allusions to events like the Cuyahoga Massacre and the Boston Clock Company that forced me to cite a historical source in order to determine whether the event had really happened. In many cases the events described were based on real occurences. Also the subplots of President Nixon's White House and other real-world scenarios make this book quite different than many of the Vonnegut novels I've read. As a Vonnegut enthusiast or a first timer, ""Jailbird"" is a must read.",REVIEW,NOT APPLICABLE
Snow angles    Hot chocklet   Throwing snow balls,ACTIVITY,WINTER
TV sleeping eating,ACTIVITY,WINTER
Sledding skiing. Snow shoeing,ACTIVITY,WINTER
"O.K. book the programmer s that can stop lots of errors!!: I was so frustred by reading this book that I ended up giving it away and buying a book that I could actually understand. Almost all of the examples were chalk full of errors. I could never get them to work. I felt like such an idiot, thinking that it was my fault that they weren't working. I highly recommend a different book for the beginner. Don't be fooled by the well known name of ""samsnet""",REVIEW,NOT APPLICABLE
Driving color tour.  Roadtrip to Michigan's upper peninsula to play bingo and gamble at the casinos.  Watching tv.,ACTIVITY,FALL
"bbq,swimming,sitting in the sun",ACTIVITY,SUMMER
"Liked the art history, hated the characters: I'm not a trained art historian, but the only part of this book that I enjoyed was the investigation of the painting. I completely missed the supposed humor of the novel - I think because I didn't find a single likeable quality in any of the characters. This book got a great review in the local paper & was a disappointment. It's on it's way to the used book store.",REVIEW,NOT APPLICABLE
Sex   Movies  Poker,ACTIVITY,WINTER
"spending time with family camping, at BBQ's, hiking",ACTIVITY,SUMMER
"Terrible tax software: Only after double and triple checking every line could I be sure that my state return was accurate. I would have saved time by using pencil and paper. While the Taxcut Federal software I used was semi-respectable, this is a disgrace! Many entries are not calculated automatically (at least for the DC version), you have to calculate a value youself and enter in the box! Unless your return is very simple, I guarantee you will file an incorrect return if you trust this software blindly.",REVIEW,NOT APPLICABLE
Walking    Driving    Football,ACTIVITY,FALL
Fishing swimming and fucking,ACTIVITY,SUMMER
"ALMOST A TOTAL WASTE OF MONEY: with the exception of the Beatles' performance's this dvd set was a almost a total waste of money for me. ididn't know i was getting FOUR HOURS of complete ed sullivan shows. i don't know what was worse, the insufferable acts on his show or the commercials they play throughout. i ended up fast forwarding through everything except the beatles acts. i think they could have done this dvd a lot better and in my opinion, just buy a picture of the beatles back then and a good cd you like of them instead of this dvd set cuz it's a waste of money.",REVIEW,NOT APPLICABLE
"Don't waste your money: I bought this from Target and wish I hadn't now. The images on the box are deceiving. I think Atari or orginal Nintendo may have had better graphics than this! It's not even close to the game you'd play at the local tavern or bowling alley. What a waste of money, hope you don't waste yours on this too because you will be GREATLY disappointed!",REVIEW,NOT APPLICABLE
"Convoluted Rules/ over complicated: I liked the idea of shadowrun very much, and once I learned how to play I enjoyed the simple runs that we had; however, the advanced aspects of shadowrun (e.g. magic, decking, rigging and vehicles, etc.) had very complicated and convoluted rules. First off, the magic section makes very little sense with regards to the drain and mana system, and the aspected magician isn't explained at all. Secondly, the Matrix uses overcomplicated rules for even simple tasks. The technical jargon used was quite confusing. Another nuisance was the shotty binding (mine plus two other books are falling apart). I reccomend waiting for the next edition to come out because of these reasons. The game is fun, just not very clear.",REVIEW,NOT APPLICABLE
"Best children's show in a long time.: This is the best children's show out there today. As a parent who grew up watching Mr. Roger's Neighborhood, it is wonderful to see his legacy continuing in such a worthwhile show. Unlike Dora, Diego, or Max and Ruby, there is an authority figure with the children almost constantly and helping them learn valuable life lessons. The songs are very catchy and my 3 year old is often singing them. I have also found that this show deals with issues for young children that I can not recall being done before, ie separation anxiety. Also, Daniel stresses that you can imagine and lets you know that is exactly what he is doing.I wish there were more shows like this one!",REVIEW,NOT APPLICABLE
SKIING  SLEDDING  ICE FISHING,ACTIVITY,WINTER
Pumpkin picking  Leaf piles  Hay rides,ACTIVITY,FALL
"Returned to the store in just a few hours...: If your looking for one of the top five poorly built portable DVD player then look no further because this unit definitely qualifies. The first unit I purchased was defective brand new out of the box. You would think I would get that as my first clue that this brand is not too keen on quality control. However, I returned the first unit and purchased a second unit. Yes, this one worked but the quality of picture and sound was abysmal. I have heard better sound from a $5 alarm clock and sadly I'm not joking. In any event, do yourself a favor and don't bother with this one. The second Cyberhome unit is going back tomorrow and will be replaced by something other than one of the many brands that are made in china.",REVIEW,NOT APPLICABLE
"Spending time with my friends, reading, chilling in my room, playing games, eating, traveling, sleeping, and waiting to go back to school.",ACTIVITY,SUMMER
"leave those high notes to my grrrl christina: i never heard such stupit squealing from a boy. it's like he a woman or sutphing. i do like that suga suga song though, i won't deny that. how you get so fly",REVIEW,NOT APPLICABLE
Pumpkin farms  Halloween  Colorful leaves,ACTIVITY,FALL
"Apple picking, carving pumpkins, fall festivals",ACTIVITY,FALL
avoiding answering these stupid questions.,ACTIVITY,WINTER
"Brings chills to my spine.: Most people are put off by the categorization of Lonesome Dove as a western. Lonesome Dove is much more than a mere western. It's an epic of survival, friendship, love, loneliness, and most importantly maturity. You will meet some of your favorite characters here, and fall in love with them. There will be moments that make you cry, moments that make you love life, and moments that are simply timeless. If you think this is a stereotypical cowboy novel you're missing out.",REVIEW,NOT APPLICABLE
"Useless: I purchased this item to connect a turntable to my PC soundcard. The adapter produced a loud hum. I tried two seperate turntables and the result was the same. As a backup, I had also purchased a 3.5mm 1/8"" Mini Plug to 2 RCA Jacks Y Adapter 6 inch which was considerably cheaper. This Y adapter worked well at about a quarter of the cost. It does not seem cost effective to return the Cables To Go product so it will just get trashed.",REVIEW,NOT APPLICABLE
"tv, walking, watching the snow",ACTIVITY,WINTER
Not a good episode: It had some famous guest stars from Star Trek: TOS but the episode was not a good one.,REVIEW,NOT APPLICABLE
"My three favorite fall activities are decorating, eating and cooking",ACTIVITY,FALL
DO NOT BUY THIS PHONE: I own this phone and absolutely hate it. The battery life is about 10 minutes (no joke) and it never has functioned properly (sometimes it just shuts itself off). This is the second Panasonic phone I have owned that did not work. PANASONIC IS A BAD BRAND - DO NOT BUY THEIR PRODUCTS!,REVIEW,NOT APPLICABLE
going to florida         going to aruba,ACTIVITY,WINTER
"blu-ray has no subtitles or closed captions!: (7/23/12, 1 star for this Blu-ray release, 5 stars for the movie) Olive Films recently released a Blu-ray version of The Mountain without subtitles or closed captions and now they've done it to one of the greatest classics of American cinema. This manifest contempt by the studio for a large segment of the home video market is especially amazing considering that my DVD version of High Noon has closed captions. Has thumbing their noses at millions of cinephiles who want the option, for varied reasons, of turning on English subtitles or closed captions now become standard operating procedure at Olive Films? My hearing is still fine, but my wife is a non-native English speaker who needs English subtitles to catch a",REVIEW,NOT APPLICABLE
"The best fatboy slim!: I reckon this is the BEST fatboy slim cd, mainly because it has weapon of choice! It's a great dance track, infact, most of them are! (the video clip to weapon of choice is great too!) five stars!",REVIEW,NOT APPLICABLE
"Great Album, but not much new: As a huge AC/DC fan I had to get this in the DualDisc format. Odds are you know how good Back in Black is (5+ stars) so I won't bore you. The video aspect is esentially VH1's ""Greatest Albums"" show. If you've seen that show, you've seen whats on the DVD portion of this release. Cool new concept, but not much to get fired up about.",REVIEW,NOT APPLICABLE
"Snowmobiling, camp fire and train rides",ACTIVITY,WINTER
"Amazon made it right: This Oscar de la Renta perfume is a fake. I have used Oscar for many years. This fragrance does not last an hour, not even a hint of it. Doesn't smell the same either. Conveniently, *sarcasm* it is not returnable.Amendment: I contacted Amazon about this perfume and I was issued a full refund. WOW.",REVIEW,NOT APPLICABLE
"Don't waste your money: Same old, same old. Nothing new...even the special effects where things we've seen before. They need to put some more effort into creating original content.",REVIEW,NOT APPLICABLE
"Binge watching television,  reading and playing video games.",ACTIVITY,WINTER
Football  Halloween   Cuddling,ACTIVITY,FALL
"One of the best albums in my collection 1999-2000: I am a heavy duty buyer, with wide abstract taste - ninja tunes - K&D, Orbital etc - so it was great to hear a new fresh sound - and several ocean going themes to boot. More fish and mammals please.",REVIEW,NOT APPLICABLE
apple picking  pumpkin picking  haunted houses,ACTIVITY,FALL
"Studying, Fall Coffee drinks, college Football",ACTIVITY,FALL
"No hidden messages here...: I'm not looking for another Opiate, Undertow, or Aenima. I thought they were only associated with each other because they were made by the band Tool. I listen to Tool albums because they are aggressive, creative, and kicked some as*. I buy Tool albums to enjoy that aggression and creativity. I groove to it. I like a beat with a little anger on the side and some creative lyrics to compliment it. 10,000 days just doesn't have it. Period. Keep trying to tell yourselves that it does. Bow down to your gods if you must. Maybe you fanboys should try giving your true opinions. You might actually be heard. Don't worry, you won't hurt their feelings...you already gave them your money.So shut up and buy my new record!",REVIEW,NOT APPLICABLE
hmm: i dunno i htoguth this cd was knida cheesy sounding. mabye i didnt like it cuz the first song really sucked and i lost intrest from the start. whenever i listen to it i always skip the first track. this cd is quite annoying at some parts also. dont buy this cd unless youve heard it before and really liked it.,REVIEW,NOT APPLICABLE
Cooking  Ice skating  Tubing,ACTIVITY,WINTER
Snowman,ACTIVITY,WINTER
This book is the centering Mecca as far as literature goes..: It is an excellent introduction to the part of yoga beyond just stretching. So many people go to classes and work through the motions without understanding the principles behind what they are doing and how those movements can become the vehicle to a better understanding of themselves and those around them. Darren's book is an easy read that opens the mind to a better way of comprehending your life.Go for it you will be so happy to be inside of your own experience. This book gives you the tools to discover the peace through the drama of day to day.BESIDES he is so SO HOT!peace outand of course NAMASTE,REVIEW,NOT APPLICABLE
"This is the book I have been looking for!: For those seeking a book that clearly explains and clarifies topics pertaining to the Jewish religion/culture, this is the book. I have read several books on Judaism but this one really goes straight to the point in explaining Jewish history, culture, and observances in a clear and concise manner. This is an excellent book on the subject.",REVIEW,NOT APPLICABLE
"Every American Should Watch This Movie: Criticizing the quality of this film completely misses the point. This film is a must see for every American. It gives a face, or many faces, to much of what is in the news about immigration.",REVIEW,NOT APPLICABLE
Bonfires  football games  corn maze,ACTIVITY,FALL
Lifting weights. Rock climbing and spending time with my family.,ACTIVITY,SUMMER
"I like to play video games, I Poole to exercise, I like to spend time with family",ACTIVITY,FALL
"I enjoy camping, sight seeing and going to the beach.",ACTIVITY,SUMMER
"Terrible product line!: i've owned several different models of these hunter humidifiers over the years, and they're all junk! they work for ONE season only. if it doesn't bother you to spend over a hundred dollars a year for a humidifier, if it doesn't bother you to treat this as a seasonal, disposable item, then by all means, buy it. Each model we've owned has ceased to operate after one season - the motor simply will not turn on. One year, Hunter's customer service graciously sent me a new one, but even so, to be throwing these units in the garbage each year and contributing to the growing waste problem seems, well, wasteful.",REVIEW,NOT APPLICABLE
"Watching TV, shopping, and going to the movies. I am not a robot.",ACTIVITY,WINTER
"Find another phone: I bought this phone as a replacement for my StarTac and have regretted it since. It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them. My biggest complaint is that there appears to be no way to go from high volume to vibrate noiselessly (each push of the volume button makes a beep). I loved that feature on my StarTac. Look elsewhere for a good flip phone.",REVIEW,NOT APPLICABLE
"Bilbo Baggins and Martin Shaw - great friends!: The Hobbit is such a charming story and Bilbo so endearing, who wouldn't enjoy having the book read to them. But when it's done by such a consummate performer as Martin Shaw! Heaven! It is truly truly ""preciousssss"".",REVIEW,NOT APPLICABLE
-boating  -walking around lakes  -tanning,ACTIVITY,SUMMER
drinking    football    napping,ACTIVITY,WINTER
"Defective Product, avoid at all cost. Save your frustration!: First, I will admit that this product packs a lot of features.But, it comes with a big price tag to make up for the features.The major problem that I have is that it locks up on certain mp3 songs and the only way to reset the player is to remove the battery. This is unacceptable!Lastly, tech support is non existent. I tried contacting samsung and they never reply to my emails. They're not very organized as there are many support channels and you have to get in touch with the right ones. If they can't fix my problem, I'm definitely returning it for a refund!... I was surprise to read some people are experiencing the same problems. My co-worker has a previous yepp version and he told me that it wa",REVIEW,NOT APPLICABLE
sledding  showshoeing  skiing,ACTIVITY,WINTER
"BUYER BEWARER THIS BOGUS BOOTLEG!: If you want to hear masterful early Garland recordings from her Decca years and MGM soundtracks, buy the LEGITIMATE CDs! Buy Judy's DECCA box, and the wonderful RHINO/Turner MGM soundtrackcollections.This pirated piece of purloined garbage is a British bootleg stolen from the original masters with no payment going to the Garland estate for the use of her recordings.Do not support this thievery. STAY AWAY!",REVIEW,NOT APPLICABLE
When they're on I enjoy the Winter Olympics. I used to love downhill skiing but can't anymore. Hot chocolate and a warm ?? fire,ACTIVITY,WINTER
A must read for high stress jobs: I have a very difficult job and dealing with stress is a difficult thing. Just reading this book helped me gain new perspective. I recommend this to anyone looking to feel comfort from short stories coupled with lessons of relief.,REVIEW,NOT APPLICABLE
"Not what it was billed as...: I saw this billed as a ""super hero"" style movie. I read the description, and was hesitant to watch it, but it had a fairly high rating, and I could sort of imagine a guy with ""super powers"" to kick some demon tail. What I got instead was a rather depressing, horror flick. To me the story line stunk. This could have been fun. It had good special effects, yet it managed to depress me and bore me. Really disappointed!",REVIEW,NOT APPLICABLE
Scareface at large: This is wonderful. theres 2 sets in the dvd. the 1st re done edition of SF 1932 is fun to watch and see how (non-violent) they are compared to the 1983 one. its wonderful to see the colors remade.its a must buy for this product. you also get these postcards but i think their pointless.,REVIEW,NOT APPLICABLE
Reading  Watching snow  Planning spring garden,ACTIVITY,WINTER
picking apples  craving pumpkins  hayrides,ACTIVITY,FALL
"Repeating the ""Big Lie"": Moberly espouses studies and treatments that have been totally disavowed by every reputable organization from the American Pychiatric Association on down. She employs the old trick of quoting others out of context in order to support her practices. These ""treatments,"" to me, are akin to the practice of taking a person who is left-handed and tying that hand down so that the individual may learn to be a ""normal"" right-handed person.",REVIEW,NOT APPLICABLE
"Kind of flimsy: Setup was not difficult, although it was a little tricky at times because the parts were marked with little stickers that mostly fell off during shipping; overall we spent about 3 hours on saturday and another 4+ hours on sunday spreading a gravel base and putting the greenhouse together. Although this tent-style greenhouse is a little cheaper than the polycarbonate models, one of the big fabric panels was ripped all the way up to the top, the whole structure was REALLY flimsy and we had no confidence it could survive our sometimes-80 mph winds. We had to send the greenhouse back because of the rip anyway, but rather than replacing the ripped panel, we replaced the greenhouse with a polycarbonate model (which we LOVE!). For the money, we wo",REVIEW,NOT APPLICABLE
"Sledding, snowball fights and snow angels",ACTIVITY,WINTER
"Watching tv, sleeping, listening to the radio",ACTIVITY,FALL
Carving Pumpkins  Halloween  Enjoying the weather,ACTIVITY,FALL
"More Political Than Prophetic: While the subject matter seems thorough and well documented, this is more a study of cults than of prophecy. The title is somewhat deceptive. If you are looking for a compendium of end-of-the-world prophecies, especially from a believer's perspective, this book is going to be a disappointment.",REVIEW,NOT APPLICABLE
"Outstanding as always: The Thoenes know how to write. They also know how to keep my attention. The history mixed with the possible happenings to others involved, make this book enjoyable.",REVIEW,NOT APPLICABLE
Going to the movies  Eating more salads and fruit  Exercising early in the morning,ACTIVITY,SUMMER
"2nd Hand Book Purchase: Except for the minor blemish of previous owner's name written on the inner cover (and that only gives a sense of history), I would have rated the book I received as ""almost pristine"".For me, as an untried user of Amazon.com, this 2nd hand item was well priced, arrived before expected, in better condition than expected. Can't ask for more than that.",REVIEW,NOT APPLICABLE
Stinky and Cheapo.: The plastic used in this has a strong smell that I would not want in my car! And it just looked cheapo. Plus it had velcro on the bottom which would have scratched the leather! Don't buy this.,REVIEW,NOT APPLICABLE
Picnic  Camping  Hiking,ACTIVITY,SUMMER
"Sleep, eat, play video games",ACTIVITY,SUMMER
Eating food   Sleeping  Watching TV,ACTIVITY,FALL
"Bonfires, pumpkin patches, corn mazes",ACTIVITY,FALL
"Modeling the Head in Clay: This is one of the best books to show others how to begin the process of sculpting heads in clay. The book is very well designed and organized. The format includes plenty of black and white, clear close up photos of the artist's clay works in stages of progression. All the pages have useful, visual details of an art lesson in modeling the head. I recommend art teachers to buy this book to help students, including beginners or advanced art students, who have never done an modeling of the human head with clay. The artist is also one of the finest clay sculptors I have seen. All the figures and heads are classical and realistic.",REVIEW,NOT APPLICABLE
"Resting on your laurels, John?: I'm an avid John Grisham fan, and was thus appalled by this exceedingly unrealistic story. There could not be better evidence that time hasn't been kind to Grisham's literary talents.The main character could not possibly exist for real. No one gives up a marriage and career with earning potential in the millions to live in squalor and despair. I don't care how altruistically bankrupt you are.The plot is also beyond redemption, based on a trifling little detail hardly worth one's interest or time. Let me sum it up for you: Michael Brock gives up his entire life, millions of dollars, and his marriage just so a shockingly small amount of homeless people can reap half-hearted, measly compensation.Clearly not in the class of the",REVIEW,NOT APPLICABLE
Hiking outdoors; reading; watching TV,ACTIVITY,WINTER
Walking in the park  Pumpkin patches  Fall festivals,ACTIVITY,FALL
